year,country_code,country,commodity_code,commodity_description,net_weight_kg,import_value_usd,sector,product_group,avg_price_usd_kg
2020,GTM,Guatemala,1806,Chocolate and other food preparations containing cocoa,8809384.441,34530492.0,Cocoa,Chocolate and cocoa preparations,3.9197394813751893
2020,GUY,Guyana,1806,Chocolate and other food preparations containing cocoa,1153727.201,6084625.669,Cocoa,Chocolate and cocoa preparations,5.273885944377591
2020,HND,Honduras,1806,Chocolate and other food preparations containing cocoa,5351215.06,14746625.5,Cocoa,Chocolate and cocoa preparations,2.7557527280542526
2020,HKG,"China, Hong Kong SAR",1806,Chocolate and other food preparations containing cocoa,32723731.0,299253051.717,Cocoa,Chocolate and cocoa preparations,9.144832895643837
2020,HUN,Hungary,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0.0,112181611.0,Coffee,Coffee total,
2020,ISL,Iceland,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",2473474.908,20951902.086,Coffee,Coffee total,8.47063457900257
2020,IDN,Indonesia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",16135956.0,38280045.0,Coffee,Coffee total,2.3723444089708723
2020,IRN,Iran,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",17278688.0,45494497.0,Coffee,Coffee total,2.632983302898924
2020,IRL,Ireland,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",26742860.728,110637926.912,Coffee,Coffee total,4.13710141324414
2020,ISR,Israel,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",26882091.782,139944000.0,Coffee,Coffee total,5.205844884946981
2020,ITA,Italy,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",591470164.0,1515839584.926,Coffee,Coffee total,2.5628335581201016
2020,CIV,Côte d'Ivoire,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",206989.0,1765041.56,Coffee,Coffee total,8.527223958761095
2020,JAM,Jamaica,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",214830.22,1173854.09,Coffee,Coffee total,5.464101326154207
2020,JPN,Japan,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",399205911.0,1178119827.181,Coffee,Coffee total,2.951158273758627
2020,KAZ,Kazakhstan,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",1570455.989,9173630.485,Coffee,Coffee total,5.841380178276361
2020,JOR,Jordan,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",28762572.131,93532033.726,Coffee,Coffee total,3.2518661161458553
2020,KEN,Kenya,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",3222798.808,9609447.106,Coffee,Coffee total,2.9817086571294276
2020,KOR,Rep. of Korea,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",176647962.513,737794503.0,Coffee,Coffee total,4.176637491336497
2020,KWT,Kuwait,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",9301978.93,63700209.0,Coffee,Coffee total,6.84802765942193
2020,KGZ,Kyrgyzstan,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",76419.0,537334.0,Coffee,Coffee total,7.031418887972887
2020,LAO,Lao People's Dem. Rep.,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",3212.762,16138.57,Coffee,Coffee total,5.023269697537508
2020,LBN,Lebanon,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",19940071.376,41203949.0,Coffee,Coffee total,2.066389243199668
2020,LSO,Lesotho,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",,965338.254,Coffee,Coffee total,
2020,LVA,Latvia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",11296730.311,71761226.102,Coffee,Coffee total,6.352389065367323
2020,LBR,Liberia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",14618.224,22939.33,Coffee,Coffee total,1.5692282455105355
2020,LTU,Lithuania,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",21110447.765,133355919.0,Coffee,Coffee total,6.317057813482148
2020,LUX,Luxembourg,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",16756088.965,113295161.657,Coffee,Coffee total,6.761432330280064
2020,MAC,"China, Macao SAR",901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0.0,5856788.188,Coffee,Coffee total,
2020,MDG,Madagascar,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",67486.47,380541.383,Coffee,Coffee total,5.638780380719275
2020,MWI,Malawi,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",99669.9,364096.819,Coffee,Coffee total,3.653026831571016
