year,country_code,country,commodity_code,commodity_description,net_weight_kg,import_value_usd,sector,product_group,avg_price_usd_kg,population,gdp_per_capita,import_value_usd_per_capita,net_weight_kg_per_capita
2020,SVN,Slovenia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",20975141.1,70337948.82,Coffee,Coffee total,3.3533957404462935,2102419.0,25392.0651093612,33.45572353560351,9.976670254597206
2020,SVK,Slovakia,1801,"Cocoa beans; whole or broken, raw or roasted",7136809.471,25101042.088,Cocoa,Cocoa beans,3.517123749764736,5458827.0,19735.4858280801,4.598248321113675,1.3073888348174434
2020,SVN,Slovenia,1801,"Cocoa beans; whole or broken, raw or roasted",32531.68,180408.37,Cocoa,Cocoa beans,5.5456210684477405,2102419.0,25392.0651093612,0.08580990278341281,0.015473452247149593
2020,SVK,Slovakia,1806,Chocolate and other food preparations containing cocoa,59506186.902,280124220.907,Cocoa,Chocolate and cocoa preparations,4.707480608164881,5458827.0,19735.4858280801,51.31582680803037,10.900910928666544
2020,SVN,Slovenia,1806,Chocolate and other food preparations containing cocoa,22152051.08,124353828.95,Cocoa,Chocolate and cocoa preparations,5.613648528567767,2102419.0,25392.0651093612,59.1479761883811,10.53645875536703
2020,ESP,Spain,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",344266510.214,1013513071.052,Coffee,Coffee total,2.943978112834701,47359424.0,27233.9426461608,21.40045180980242,7.269229250212164
2020,ESP,Spain,1801,"Cocoa beans; whole or broken, raw or roasted",97531551.46,261961445.114,Cocoa,Cocoa beans,2.6859148777248416,47359424.0,27233.9426461608,5.531347786535579,2.059390575780651
2020,ESP,Spain,1806,Chocolate and other food preparations containing cocoa,140839815.532,606148011.419,Cocoa,Chocolate and cocoa preparations,4.303811455087273,47359424.0,27233.9426461608,12.798889011382403,2.973849840994688
2020,SWE,Sweden,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",122711414.017,424981327.966,Coffee,Coffee total,3.4632583396612526,10353442.0,52568.5726980146,41.04734714947937,11.852233683928494
2020,SWE,Sweden,1801,"Cocoa beans; whole or broken, raw or roasted",43530.679,315624.618,Cocoa,Cocoa beans,7.250624737555783,10353442.0,52568.5726980146,0.030484994072502655,0.004204464466985955
2020,SWE,Sweden,1806,Chocolate and other food preparations containing cocoa,80494400.041,418961985.406,Cocoa,Chocolate and cocoa preparations,5.204858787600141,10353442.0,52568.5726980146,40.465961504009975,7.774651177936767
2021,AUT,Austria,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",62625359.644,465552071.704,Coffee,Coffee total,7.433922525163551,8955797.0,53648.6437976214,51.98332116103123,6.992717637972366
2021,BEL,Belgium,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",162658743.69,679815946.574,Coffee,Coffee total,4.17939995817018,11586195.0,51658.238294958,58.674650873215924,14.039013126397407
2021,BGR,Bulgaria,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",38212541.0,137277621.204,Coffee,Coffee total,3.592475601243058,6507301.0,12966.1457543396,21.09593842424071,5.872256562282888
2021,AUT,Austria,1801,"Cocoa beans; whole or broken, raw or roasted",23632666.049,75597826.236,Cocoa,Cocoa beans,3.1988699911916574,8955797.0,53648.6437976214,8.441217039198186,2.63881216255795
2021,BEL,Belgium,1801,"Cocoa beans; whole or broken, raw or roasted",134004774.68,390131510.907,Cocoa,Cocoa beans,2.9113254496985213,11586195.0,51658.238294958,33.67209950350396,11.565900166534398
2021,BGR,Bulgaria,1801,"Cocoa beans; whole or broken, raw or roasted",24334870.0,67154071.464,Cocoa,Cocoa beans,2.75958209203501,6507301.0,12966.1457543396,10.319804088361673,3.7396256912043873
